"pages","dividpavailabilityprecedingsiblingdiv1br1precedingsiblingprecedingsiblingspan1text1selftext","dividpdescriptionhr1precedingsiblingdiv1p1strong1followingsiblingtext1selftext","spanidpbrandtext1selftext"
"26.html","+","","3M"
"16.html","+","","3M"
"12.html","+","","3M"
"13.html","+","","3M"
"10.html","+","","3M"
"8.html","+","","3M"
"15.html","+","costituita da una superficie in gomma resiliente su un supporto in poliestere morbido sensibile alla pressione, che rende il prodotto idoneo","3M"
"14.html","+","costituita da una superficie in gomma resiliente su un supporto in poliestere morbido sensibile alla pressione, che rende il prodotto idoneo","3M"
"11.html","+","","3M"
"7.html","+","","3M"
"17.html","+","","3M"
"9.html","+","","3M"
"6.html","+","","3M"
