"pages","dividpdescriptiondiv1text1selftext","","dividpdescriptionhr1precedingsiblingprecedingsiblingdiv1h21text1selftext","dividpavailabilityprecedingsiblingdiv1br1precedingsiblingprecedingsiblingtext1selftext","","dividpavailabilityprecedingsiblingdiv1br1precedingsiblingtext1selftext","","","dividpavailabilityprecedingsiblingdiv1div1text1selftext","","","","","bodyidbodyprecedingsiblinglink1precedingsiblingmeta1precedingsiblingtextselftext","dividpdescriptionhr1precedingsiblingdiv1p1textselftext","","","dividpdescriptionhr1precedingsiblingprecedingsiblingtext1selftext","","dividpavailabilityprecedingsiblingdiv1br1precedingsiblingspan1text1selftext","","dividpdescriptiondiv1div1h21textselftext"
"26.html","Tappeto antiscivolo Safety-Walk? per aree bagnate 1500 3M verde 0.90 x 6Mt","Tappeto per aree con camminamento a piede nudo o calzato","Tappeto antiscivolo Safety-Walk? per aree bagnate 1500 3M verde 0.90 x 6Mt","Qt� :","+","Qt� :","+","-","741,54?","-25%","556,16?","678,51? iva inclusa","+","Tappeto antiscivolo Safety Walk Wet Area 1500 0.90 x 6mt [7100116709]","Tappeto senza supporto costituito da una struttura aperta in ricciolo vinilico, fornisce una confortevole superficie di camminamento a piede nudo o calzato in aree bagnate.","","","Tappeto antiscivolo Safety-Walk? per aree bagnate 1500 3M verde 0.90 x 6Mt","Tappeto per aree con camminamento a piede nudo o calzato","+","-","Tappeto antiscivolo Safety-Walk? per aree bagnate 1500 3M verde 0.90 x 6Mt"
"16.html","Striscia antiscivolo Scotch Safety-Walk nera per gradini e scale 25mm x4.57m","","","Qt� :","+","Qt� :","+","-","8,24?","-25%","6,18?","7,54? iva inclusa","+","Nastro antiscivolo 3M Scotch Safety Walk 25mmx4.5mt 4301BLAB [7100037083]","","","","","","+","-","Striscia antiscivolo Scotch Safety-Walk nera per gradini e scale 25mm x4.57m"
"12.html","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 50mm x 18.2mt","","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 50mm x 18.2mt","Qt� :","+","Qt� :","+","-","73,76?","-25%","55,32?","67,49? iva inclusa","+","Nastro antiscivolo 3M Safety Walk General Purpose 50mmx18.2mt [7000033436]","Il nastro antiscivolo 3M Safety Walk General Purpose � una pellicola antiscivolo costituita da granuli abrasivi aggregati da resine sintetiche ad un supporto in poliestere dimensionalmente stabile. La superficie inferiore � rivestita con un adesivo sensibile alla pressione e coperto da un liner rimovibile.","","","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 50mm x 18.2mt","","+","-","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 50mm x 18.2mt"
"13.html","Nastro antiscivolo 3M bianco Safety Walk Resilient fine per aree bagnate 50mm x 18.2mt","","","Qt� :","+","Qt� :","+","-","66,50?","81,13? iva inclusa","+","","","Nastro antiscivolo 3M Safety Walk Resilient fine 50mmx18.2mt [7100119078]","","","","","","+","-","Nastro antiscivolo 3M bianco Safety Walk Resilient fine per aree bagnate 50mm x 18.2mt"
"10.html","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 19mm x 18.2mt","","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 19mm x 18.2mt","Qt� :","+","Qt� :","+","-","27,09?","-25%","20,32?","24,79? iva inclusa","+","Nastro antiscivolo 3M Safety Walk General Purpose 19mmx18.2mt [7000077663]","Il nastro antiscivolo 3M Safety Walk General Purpose � una pellicola antiscivolo costituita da granuli abrasivi aggregati da resine sintetiche ad un supporto in poliestere dimensionalmente stabile. La superficie inferiore � rivestita con un adesivo sensibile alla pressione e coperto da un liner rimovibile.","","","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 19mm x 18.2mt","","+","-","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 19mm x 18.2mt"
"8.html","Nastro antiscivolo 3M Safety walk Conformable Nero 100mm x 18.2mt","","","Qt� :","+","Qt� :","+","-","146,50?","178,73? iva inclusa","+","","","Nastro antiscivolo 3M Safety Walk Conformable 100mmx18.2mt [7000033437]","","","","","","+","-","Nastro antiscivolo 3M Safety walk Conformable Nero 100mm x 18.2mt"
"15.html","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 50mmx18.2mt","","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 50mmx18.2mt","Qt� :","+","Qt� :","+","-","98,03?","-25%","73,52?","89,70? iva inclusa","+","Nastro antiscivolo 3M Safety Walk Resilient medio 50mmx18.2mt [7000033434]","Il nastro antiscivolo 3M Safety Walk Resilient medio � una","costituita da una superficie in gomma resiliente su un supporto in poliestere morbido sensibile alla pressione, che rende il prodotto idoneo",".","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 50mmx18.2mt","","+","-","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 50mmx18.2mt"
"14.html","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 25mmx18.2mt","","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 25mmx18.2mt","Qt� :","+","Qt� :","+","-","49,02?","-25%","36,77?","44,85? iva inclusa","+","Nastro antiscivolo 3M Safety Walk Resilient medio 25mmx18.2mt [7000033438]","Il nastro antiscivolo 3M Safety Walk Resilient medio � una","costituita da una superficie in gomma resiliente su un supporto in poliestere morbido sensibile alla pressione, che rende il prodotto idoneo",".","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 25mmx18.2mt","","+","-","Nastro strisce antiscivolo Safety-Walk? Resilient medio 3M grigio 25mmx18.2mt"
"11.html","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 25mm x 18.2mt","","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 25mm x 18.2mt","Qt� :","+","Qt� :","+","-","38,15?","-25%","28,61?","34,91? iva inclusa","+","Nastro antiscivolo 3M Safety Walk General Purpose 25mmx18.2mt [7000033429]","Il nastro antiscivolo 3M Safety Walk General Purpose � una pellicola antiscivolo costituita da granuli abrasivi aggregati da resine sintetiche ad un supporto in poliestere dimensionalmente stabile. La superficie inferiore � rivestita con un adesivo sensibile alla pressione e coperto da un liner rimovibile.","","","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 25mm x 18.2mt","","+","-","Nastro strisce antiscivolo Safety-Walk? General Purpose 3M trasparente 25mm x 18.2mt"
"7.html","Nastro antiscivolo 3M Safety walk Coarse Nero per traffico intenso 50mmx18.2mt","","","Qt� :","+","Qt� :","+","-","82,86?","101,09? iva inclusa","+","","","Nastro antiscivolo 3M Safety Walk Coarse 50mmx18.2mt [7000146181]","","","","","","+","-","Nastro antiscivolo 3M Safety walk Coarse Nero per traffico intenso 50mmx18.2mt"
"17.html","Striscia antiscivolo Scotch Safety-Walk trasparente per gradini e scale 25mm x4.5m","","","Qt� :","+","Qt� :","+","-","8,24?","-25%","6,18?","7,54? iva inclusa","+","Nastro antiscivolo 3M Scotch Safety Walk 25mmx4.5mt 4301TRPB [7100037085]","","","","","","+","-","Striscia antiscivolo Scotch Safety-Walk trasparente per gradini e scale 25mm x4.5m"
"9.html","Nastro antiscivolo 3M Safety walk Conformable Nero 50mm x 18.2mt","","","Qt� :","+","Qt� :","+","-","74,50?","90,89? iva inclusa","+","","","Nastro antiscivolo 3M Safety Walk Conformable 50mmx18.2mt [7000033435]","","","","","","+","-","Nastro antiscivolo 3M Safety walk Conformable Nero 50mm x 18.2mt"
"6.html","Nastro antiscivolo 3M Safety walk Coarse Nero per traffico intenso 25mmx18.3mt","","","Qt� :","+","Qt� :","+","-","41,50?","50,63? iva inclusa","+","","","Nastro antiscivolo 3M Safety Walk Coarse 25mmx18.3mt [7000146182]","","","","","","+","-","Nastro antiscivolo 3M Safety walk Coarse Nero per traffico intenso 25mmx18.3mt"
