"pages","dividcookielawpopupheadera1textselftext","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext","dividdescrizionep1b1br1followingsiblingtext1selftext","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividnotelegaliexpandibleh51precedingsiblingfollowingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividcookielawpopupfooterdiv1textselftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext"
"20.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"26.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"3.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"29.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"34.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"18.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"15.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"23.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"31.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"4.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"14.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"7.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"11.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"28.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"42.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"45.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"17.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"25.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"48.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"22.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"44.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"47.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"13.html","x",",","Il primo romanzo sul fascismo raccontato attraverso Benito Mussolini: il figlio di un secolo che ci ha reso quello che siamo.","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"33.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"39.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"10.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"36.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"5.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"38.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"32.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"21.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"46.html","x",",","Il primo romanzo sul fascismo raccontato attraverso Benito Mussolini: il figlio di un secolo che ci ha reso quello che siamo.","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"49.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"40.html","x",",","","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"24.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"9.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"6.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
"27.html","x",",","","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","di","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","."
