"pages","dividdescriptiondiv1h21p1textselftext","","","dividproductdescriptionshortp1text1selftext","dividdescriptiondiv1p1textselftext","","","asideidthumbnailsprecedingsiblingtext1selftext"
"166.html","","","","L' Uva Rossa Biologica - naturale si consuma come frutto fresco, in macedonia o ridotta in succo; con l' Uva Rossa Biologica - naturale molto matura si prepara il vin-cotto, mosto stracotto fino a diventare dolcissimo, utilizzato per preparare alcuni dolci tradizionali. Dai semi (vinaccioli) dell' Uva Rossa Biologica - naturale si ricava un olio ricco di acidi grassi benefici per la salute se usato a crudo. L' Uva Rossa Biologica - naturale, detta anche uvetta, ritempra la memoria e tonifica ossa e cartilagini. Coi suoi dolci e colorati chicchi potete preparare tantissime ricette con l' Uva Rossa Biologica - naturale,  per i dessert ma anche per ricette salate, ce n� per tutti i gusti.","Uva Rossa Biologica - naturale- nell' antichit� furono i Greci a sviluppare la viticoltura in Europa e portarla in Italia, nel meridione. Nella mitologia greca Dioniso � una delle divinit� pi� strettamente legate alla terra, al ciclo vitale, allenergia naturale. In questa fase � il dio della vite e delluva, ed � una presenza benefica, addirittura indispensabile per il progredire della civilt�; infatti verr� indicato come il Dio del vino. Luva rossa biologica � un frutto della vite costituito da bacche (acini) pi� o meno piccole, rotonde e riunite in grappoli. In base al colore si identificano uve bianche, nere o rosate. L' Uva Rossa Biologica - naturale � anche il frutto simbolo del passaggio dall' estate all' autunno, racchiude nel suo contenuto zuccherino tutto il sole della stagione calda. Ma � anche un forziere di principi attivi utili al nostro corpo per affrontare la ripresa lavorativa o scolastica. L' Uva Rossa Biologica - naturale � indicata in caso di anemia e affaticamento, artrite, vene varicose, malattie della pelle; ha propriet� antiossidanti e anticancro.","","","L' Uva Rossa Biologica - naturale si consuma come frutto fresco, in macedonia o ridotta in succo; con l' Uva Rossa Biologica - naturale molto matura si prepara il vin-cotto, mosto stracotto fino a diventare dolcissimo, utilizzato per preparare alcuni dolci tradizionali. Dai semi (vinaccioli) dell' Uva Rossa Biologica - naturale si ricava un olio ricco di acidi grassi benefici per la salute se usato a crudo. L' Uva Rossa Biologica - naturale, detta anche uvetta, ritempra la memoria e tonifica ossa e cartilagini. Coi suoi dolci e colorati chicchi potete preparare tantissime ricette con l' Uva Rossa Biologica - naturale,  per i dessert ma anche per ricette salate, ce n� per tutti i gusti."
"20.html","Basilico Fresco biologico  (Ocimum basilicum L.) Cosa si pu� dire del Basilico che gi� non sia universalmente noto? la capacit� del Basilico di esaltare il sapore delle pietanze a base di funghi, oppure l?aceto e l?olio extra vergine di oliva aromatizzati al Basilico. All?antico erborista per la raccolta del Basilico, pianta sacra, era imposto un rituale complesso: doveva indossare vesti pulite, astenersi da contatti impuri e lavare la mano nell?acqua di tre diverse fonti, ma certo sono solo leggende. La medicina popolare agli estratti, infusi ed altre preparazioni di Basilico ha accreditato propriet� analgesiche, antinfiammatorie, antispasmodiche, bechiche, carminative, diaforetiche, diuretiche, emmenagoghe, sedative, stomachiche, toniche e, non ultime, afrodisiache! Le foglie fresche, pestate, si ritiene siano antisettiche e giovino per le punture di zanzara. Polvere di Basilico nelle narici giova nei casi di rinite cronica. Allora cosa aspettate ad ordinarlo?","","","Le prime tracce del pesto le troviamo addirittura nell'800 e da allora la ricetta si � sempre mantenuta identica, almeno nella preparazione casalinga. Per fare il vero pesto alla genovese occorrono un mortaio di marmo e un pestello di legno e... molta pazienza.","Basilico Fresco biologico  (Ocimum basilicum L.) Cosa si pu� dire del Basilico che gi� non sia universalmente noto? la capacit� del Basilico di esaltare il sapore delle pietanze a base di funghi, oppure l?aceto e l?olio extra vergine di oliva aromatizzati al Basilico. All?antico erborista per la raccolta del Basilico, pianta sacra, era imposto un rituale complesso: doveva indossare vesti pulite, astenersi da contatti impuri e lavare la mano nell?acqua di tre diverse fonti, ma certo sono solo leggende. La medicina popolare agli estratti, infusi ed altre preparazioni di Basilico ha accreditato propriet� analgesiche, antinfiammatorie, antispasmodiche, bechiche, carminative, diaforetiche, diuretiche, emmenagoghe, sedative, stomachiche, toniche e, non ultime, afrodisiache! Le foglie fresche, pestate, si ritiene siano antisettiche e giovino per le punture di zanzara. Polvere di Basilico nelle narici giova nei casi di rinite cronica. Allora cosa aspettate ad ordinarlo?","","","Le prime tracce del pesto le troviamo addirittura nell'800 e da allora la ricetta si � sempre mantenuta identica, almeno nella preparazione casalinga. Per fare il vero pesto alla genovese occorrono un mortaio di marmo e un pestello di legno e... molta pazienza."
"169.html","Melone Cantalupo BIOLOGICO: � un frutto leggermente diuretico, rinfrescante, risulta indicato a chi soffre di anemia per il contenuto in ferro. Melone Cantalupo BIOLOGICO - naturale  apportatore di sali,  si caratterizza per una grande ricchezza di pro-vitamina A, dovuta al colore arancione della polpa che � legato alla presenza di pigmenti carotenoidi molto importanti per la salute degli occhi: tra questi dal punto di vista nutrizionale il pi� importante � il beta-carotene. Il Melone Cantalupo BIOLOGICO - naturale  offre anche un apporto apprezzabile di vitamina C e ha un valore energetico moderato. Il Melone Cantalupo BIOLOGICO - naturale  inoltre � ottimo da gustare fresco durante le giornate estive di caldo, molto buono e apprezzato anche dai bambini, che oltre ad amarne il colore apprezzano anche il sapore. Il Melone Cantalupo BIOLOGICO - naturale  pu� essere anche gustato accompagnato dal prosciutto crudo, che spezza quel buonissimo sapore dolce!","","","Melone Cantalupo BIOLOGICO si consuma prevalentemente fresco, dopo aver asportato la buccia, da solo o nel classico piatto fresco, veloce, estivo: "Prosciutto e melone". Inoltre il Melone Cantalupo BIOLOGICO - naturale  viene utilizzato per la preparazione di antipasti, macedonie di frutta, dolci confetture, sorbetti, gelati o frullati. Il Melone Cantalupo BIOLOGICO - naturale � anche molto bello da vedere sotto forma di sculture di frutta in quanto abbastanza colorato, d� un effetto molto elegante! Ordinalo su Paniere Bio e provalo! Agricoltura biologica al cento per cento!","Melone Cantalupo BIOLOGICO: � un frutto leggermente diuretico, rinfrescante, risulta indicato a chi soffre di anemia per il contenuto in ferro. Melone Cantalupo BIOLOGICO - naturale  apportatore di sali,  si caratterizza per una grande ricchezza di pro-vitamina A, dovuta al colore arancione della polpa che � legato alla presenza di pigmenti carotenoidi molto importanti per la salute degli occhi: tra questi dal punto di vista nutrizionale il pi� importante � il beta-carotene. Il Melone Cantalupo BIOLOGICO - naturale  offre anche un apporto apprezzabile di vitamina C e ha un valore energetico moderato. Il Melone Cantalupo BIOLOGICO - naturale  inoltre � ottimo da gustare fresco durante le giornate estive di caldo, molto buono e apprezzato anche dai bambini, che oltre ad amarne il colore apprezzano anche il sapore. Il Melone Cantalupo BIOLOGICO - naturale  pu� essere anche gustato accompagnato dal prosciutto crudo, che spezza quel buonissimo sapore dolce!","","","Melone Cantalupo BIOLOGICO si consuma prevalentemente fresco, dopo aver asportato la buccia, da solo o nel classico piatto fresco, veloce, estivo: "Prosciutto e melone". Inoltre il Melone Cantalupo BIOLOGICO - naturale  viene utilizzato per la preparazione di antipasti, macedonie di frutta, dolci confetture, sorbetti, gelati o frullati. Il Melone Cantalupo BIOLOGICO - naturale � anche molto bello da vedere sotto forma di sculture di frutta in quanto abbastanza colorato, d� un effetto molto elegante! Ordinalo su Paniere Bio e provalo! Agricoltura biologica al cento per cento!"
"26.html","","","","","","","","Questo Pesto di Cavolo vecchio biologico siciliano contiene tutti i prodotti della nostra terra, lo prepariamo partendo dai cavoli vecchi di Rosolini, lo uniamo con le nostre mandorle pelate e tritate finemente, olio extravergine d'oliva e succo di limone in minima quantit� giusto per amalgamare i sapori ma non troppo da coprirli. IMPORTANTE TENERE A MENTE: il cavolo vecchio di Rosolini � un PRESIDIO SLOWFOOD"
"152.html","Radicchio Biologico naturale � un ortaggio con buone propriet� benefiche per la salute del nostro organismo: ha un sapore dolce amaro, e propriet� depurative, infatti grazie all'alto contenuto di acqua, la presenza di fibre e principi amari, favorisce la digestione ed il buon funzionamento dell'intestino. Grazie al suo basso apporto calorico il Radicchio Biologico naturale � un alimento molto indicato anche per le diete ed i regimi alimentari controllati. Il calcio ed il ferro presenti nel radicchio biologico sono in grado di favorire il metabolismo delle ossa rendendole pi� forti. Poich� l' apporto calorico del Radicchio Biologico naturale � molto basso viene utilizzato per le diete. Il Radicchio Biologico naturale previene le malattie dell' invecchiamento e ha anche notevoli propriet� depurative, diuretiche e toniche. Il Radicchio Biologico naturale pu� essere utilizzato nelle insalate miste, dona un sapore deciso ai piatti!","","","Radicchio Biologico naturale in cucina si presta a diversi impieghi: in particolare si preparano insalate crude e miste, radicchio in pinzimonio, ai ferri, saltato in padella oppure come ingrediente principale di risotti. Il suo succo viene utilizzato in cosmesi per produrre preparati per la pelle irritata e per il cuoio capelluto e per i capelli. Il Radicchio Biologico naturale, pu� essere consumato crudo o cotto. Nel primo caso, il procedimento di preparazione del radicchio crudo � identico a quello della comune insalata, anche se raramente viene consumato da solo e pi� spesso rappresenta un ingrediente essenziale delle "misticanze".  Per quel che concerne i radicchio cotto � molto usato per i risotti, molto sfiziosi e saporiti!","Radicchio Biologico naturale � un ortaggio con buone propriet� benefiche per la salute del nostro organismo: ha un sapore dolce amaro, e propriet� depurative, infatti grazie all'alto contenuto di acqua, la presenza di fibre e principi amari, favorisce la digestione ed il buon funzionamento dell'intestino. Grazie al suo basso apporto calorico il Radicchio Biologico naturale � un alimento molto indicato anche per le diete ed i regimi alimentari controllati. Il calcio ed il ferro presenti nel radicchio biologico sono in grado di favorire il metabolismo delle ossa rendendole pi� forti. Poich� l' apporto calorico del Radicchio Biologico naturale � molto basso viene utilizzato per le diete. Il Radicchio Biologico naturale previene le malattie dell' invecchiamento e ha anche notevoli propriet� depurative, diuretiche e toniche. Il Radicchio Biologico naturale pu� essere utilizzato nelle insalate miste, dona un sapore deciso ai piatti!","","","Radicchio Biologico naturale in cucina si presta a diversi impieghi: in particolare si preparano insalate crude e miste, radicchio in pinzimonio, ai ferri, saltato in padella oppure come ingrediente principale di risotti. Il suo succo viene utilizzato in cosmesi per produrre preparati per la pelle irritata e per il cuoio capelluto e per i capelli. Il Radicchio Biologico naturale, pu� essere consumato crudo o cotto. Nel primo caso, il procedimento di preparazione del radicchio crudo � identico a quello della comune insalata, anche se raramente viene consumato da solo e pi� spesso rappresenta un ingrediente essenziale delle "misticanze".  Per quel che concerne i radicchio cotto � molto usato per i risotti, molto sfiziosi e saporiti!"
"12.html","Sedano Biologico Naturale � un ortaggio dal gusto aromatico, dalle propriet� terapeutiche a tutto raggio con innumerevoli funzioni per migliorare la digestione, combattere lobesit� grazie alla sua capacit� dimagrante, migliorare la pressione sanguigna e molto altro ancora. Il Sedano Biologico Naturale aiuta a combattere la pressione alta e la ritenzione idrica. Dalle foglie del Sedano Biologico Naturale si estrae un succo dalle grandi propriet� terapeutiche. Tutta la pianta possiede infatti virt� depurative e carminative. Il Sedano Biologico Naturale � rinomato anche per la sua propriet� di contrastare efficacemente le bronchiti, infatti grazie alle sue propriet� lenitive � un valido aiuto contro la tosse secca, bronchite, specialmente se unito a miele, cannella e zenzero. Alcuni studi condotti su animali hanno evidenziato una interessante virt� del Sedano Biologico Naturale: protegge la mucosa gastrica e diminuisce la produzione di acidi gastrici, con notevole beneficio in caso di gastrite e ulcere.","","","Sedano Biologico Naturale � uno dei pi� noti diuretici. Le sue propriet� sono date dal grande contenuto di acqua e dal suo olio essenziale, che svolge unazione vasodilatatoria dei vasi sanguigni renali, favorendo cos� la diuresi. Il Sedano Biologico Naturale infatti, da secoli viene utilizzato sia in cucina sia come pianta medicinale. Le propriet� del Sedano Biologico Naturale sono molte: carminativo, diuretico, espettorante e riduce i dolori reumatici. Viene molto utilizzato per la preparazione di decotti e tisane; ad esempio, come diuretico � preferibile adoperare linfuso di radice. Porre 15 grammi di radice in una tazza di acqua bollente e lasciare in infusione per 10/15 minuti. Filtrare e bere durante larco della giornata; per la bronchite, preparare un decotto con 30 grammi di foglie di sedano lasciate in acqua bollente per almeno 10 minuti. Filtrare e bere al mattino. Si otterranno effetti migliori se al decotto di aggiunge latte e miele. In alternativa bere l' acqua di cottura del Sedano Biologico Naturale con un po di miele.","Sedano Biologico Naturale � un ortaggio dal gusto aromatico, dalle propriet� terapeutiche a tutto raggio con innumerevoli funzioni per migliorare la digestione, combattere lobesit� grazie alla sua capacit� dimagrante, migliorare la pressione sanguigna e molto altro ancora. Il Sedano Biologico Naturale aiuta a combattere la pressione alta e la ritenzione idrica. Dalle foglie del Sedano Biologico Naturale si estrae un succo dalle grandi propriet� terapeutiche. Tutta la pianta possiede infatti virt� depurative e carminative. Il Sedano Biologico Naturale � rinomato anche per la sua propriet� di contrastare efficacemente le bronchiti, infatti grazie alle sue propriet� lenitive � un valido aiuto contro la tosse secca, bronchite, specialmente se unito a miele, cannella e zenzero. Alcuni studi condotti su animali hanno evidenziato una interessante virt� del Sedano Biologico Naturale: protegge la mucosa gastrica e diminuisce la produzione di acidi gastrici, con notevole beneficio in caso di gastrite e ulcere.","","","Sedano Biologico Naturale � uno dei pi� noti diuretici. Le sue propriet� sono date dal grande contenuto di acqua e dal suo olio essenziale, che svolge unazione vasodilatatoria dei vasi sanguigni renali, favorendo cos� la diuresi. Il Sedano Biologico Naturale infatti, da secoli viene utilizzato sia in cucina sia come pianta medicinale. Le propriet� del Sedano Biologico Naturale sono molte: carminativo, diuretico, espettorante e riduce i dolori reumatici. Viene molto utilizzato per la preparazione di decotti e tisane; ad esempio, come diuretico � preferibile adoperare linfuso di radice. Porre 15 grammi di radice in una tazza di acqua bollente e lasciare in infusione per 10/15 minuti. Filtrare e bere durante larco della giornata; per la bronchite, preparare un decotto con 30 grammi di foglie di sedano lasciate in acqua bollente per almeno 10 minuti. Filtrare e bere al mattino. Si otterranno effetti migliori se al decotto di aggiunge latte e miele. In alternativa bere l' acqua di cottura del Sedano Biologico Naturale con un po di miele."
"155.html","Radicchio Biologico naturale � un ortaggio con buone propriet� benefiche per la salute del nostro organismo: ha un sapore dolce amaro, e propriet� depurative, infatti grazie all'alto contenuto di acqua, la presenza di fibre e principi amari, favorisce la digestione ed il buon funzionamento dell'intestino. Grazie al suo basso apporto calorico il Radicchio Biologico naturale � un alimento molto indicato anche per le diete ed i regimi alimentari controllati. Il calcio ed il ferro presenti nel radicchio biologico sono in grado di favorire il metabolismo delle ossa rendendole pi� forti. Poich� l' apporto calorico del Radicchio Biologico naturale � molto basso viene utilizzato per le diete. Il Radicchio Biologico naturale previene le malattie dell' invecchiamento e ha anche notevoli propriet� depurative, diuretiche e toniche. Il Radicchio Biologico naturale pu� essere utilizzato nelle insalate miste, dona un sapore deciso ai piatti!","","","Radicchio Biologico naturale in cucina si presta a diversi impieghi: in particolare si preparano insalate crude e miste, radicchio in pinzimonio, ai ferri, saltato in padella oppure come ingrediente principale di risotti. Il suo succo viene utilizzato in cosmesi per produrre preparati per la pelle irritata e per il cuoio capelluto e per i capelli. Il Radicchio Biologico naturale, pu� essere consumato crudo o cotto. Nel primo caso, il procedimento di preparazione del radicchio crudo � identico a quello della comune insalata, anche se raramente viene consumato da solo e pi� spesso rappresenta un ingrediente essenziale delle "misticanze".  Per quel che concerne i radicchio cotto � molto usato per i risotti, molto sfiziosi e saporiti!","Radicchio Biologico naturale � un ortaggio con buone propriet� benefiche per la salute del nostro organismo: ha un sapore dolce amaro, e propriet� depurative, infatti grazie all'alto contenuto di acqua, la presenza di fibre e principi amari, favorisce la digestione ed il buon funzionamento dell'intestino. Grazie al suo basso apporto calorico il Radicchio Biologico naturale � un alimento molto indicato anche per le diete ed i regimi alimentari controllati. Il calcio ed il ferro presenti nel radicchio biologico sono in grado di favorire il metabolismo delle ossa rendendole pi� forti. Poich� l' apporto calorico del Radicchio Biologico naturale � molto basso viene utilizzato per le diete. Il Radicchio Biologico naturale previene le malattie dell' invecchiamento e ha anche notevoli propriet� depurative, diuretiche e toniche. Il Radicchio Biologico naturale pu� essere utilizzato nelle insalate miste, dona un sapore deciso ai piatti!","","","Radicchio Biologico naturale in cucina si presta a diversi impieghi: in particolare si preparano insalate crude e miste, radicchio in pinzimonio, ai ferri, saltato in padella oppure come ingrediente principale di risotti. Il suo succo viene utilizzato in cosmesi per produrre preparati per la pelle irritata e per il cuoio capelluto e per i capelli. Il Radicchio Biologico naturale, pu� essere consumato crudo o cotto. Nel primo caso, il procedimento di preparazione del radicchio crudo � identico a quello della comune insalata, anche se raramente viene consumato da solo e pi� spesso rappresenta un ingrediente essenziale delle "misticanze".  Per quel che concerne i radicchio cotto � molto usato per i risotti, molto sfiziosi e saporiti!"
"3.html","","","","","","","",""
"127.html","","","","","","","","Peperoncino rosso siciliano BIO sbriciolato � un condimento molto popolare. Il Peperoncino rosso siciliano BIO sbriciolato viene usato per la preparazione di varie ricette, come salse, sughi, marmellate, cioccolato, ed insaporisce carni, salumi, formaggi, verdure, legumi. Ha propriet� benefiche per l' organismo ma soprattutto per la circolazione sanguigna. Il Peperoncino rosso siciliano BIO sbriciolato � ottimo per varie tipologie di piatti! Provalo anche tu, cento per cento biologico!!!"
"0.html","","","","","","","",""
