"pages","metaidviewportprecedingsiblingtext1selftext","dividmaincontainerdiv1div1div1div1h61textselftext","dividmaincontainerdiv1div1div1figure1precedingsiblingprecedingsiblingh61textselftext","dividcommentsectionp1text1selftext","","","dividcommentsectionul1precedingsiblingp1textselftext",""
"65.html","Imprese artigiane, approvato il bando per le assunzioni degli apprendisti - L'Unione Sarda.it","Dalla Giunta, su impulso dell'assessore al Turismo Gianni Chessa, stanziamenti per milioni di euro","Dalla Giunta, su impulso dell'assessore al Turismo Gianni Chessa, stanziamenti per milioni di euro","La Giunta regionale ha approvato le direttive per la pubblicazione del nuovo bando relativo agli incentivi per le assunzioni di apprendisti artigiani previsti dalla legge regionale 12 del 2001.","","","La Giunta regionale ha approvato le direttive per la pubblicazione del nuovo bando relativo agli incentivi per le assunzioni di apprendisti artigiani previsti dalla legge regionale 12 del 2001.",""
"62.html","Fiera dell'artigianato di Mogoro, un successo: "Superati i 10mila visitatori" - L'Unione Sarda.it","Sul piano delle vendite dei lavori artigianali si � raggiunta quota 210mila euro","Sul piano delle vendite dei lavori artigianali si � raggiunta quota 210mila euro","Nella fiera dell'artigianato artistico della Sardegna sono stati superati i diecimila visitatori. Un risultato che la rassegna pi� antica sull'artigianato di qualit� nell'Isola non aveva mai raggiunto. I decimillesimi visitatori sono stati una coppia di fidanzati provenienti da Cagliari: Giuseppe Di Natale, 45 anni, di origini siciliane, e Luisa Melis di 43 anni.","","","Nella fiera dell'artigianato artistico della Sardegna sono stati superati i diecimila visitatori. Un risultato che la rassegna pi� antica sull'artigianato di qualit� nell'Isola non aveva mai raggiunto. I decimillesimi visitatori sono stati una coppia di fidanzati provenienti da Cagliari: Giuseppe Di Natale, 45 anni, di origini siciliane, e Luisa Melis di 43 anni.",""
"221.html","Pastori, assemblea a Tramatza: allo studio la proposta di un contratto triennale - L'Unione Sarda.it","All'incontro, convocato dall'associazione "Pi� Sardegna", partecipa anche l'assessore Gabriella Murgia","All'incontro, convocato dall'associazione "Pi� Sardegna", partecipa anche l'assessore Gabriella Murgia","L'associazione "Pi� Sardegna" lancia un appello all'unit� dei pastori e convoca, per domani alle 10.30, un'assemblea generale a Tramatza, che vedr� la partecipazione dell'assessore regionale all'Agricoltura Gabriella Murgia.","","","L'associazione "Pi� Sardegna" lancia un appello all'unit� dei pastori e convoca, per domani alle 10.30, un'assemblea generale a Tramatza, che vedr� la partecipazione dell'assessore regionale all'Agricoltura Gabriella Murgia.",""
"211.html","Emirates ricerca assistenti di volo a Cagliari - L'Unione Sarda.it","Il candidato ideale ha pi� di 21 anni e una buona conoscenza dell'inglese","Il candidato ideale ha pi� di 21 anni e una buona conoscenza dell'inglese","Emirates ricerca personale anche in Sardegna.","","","Emirates ricerca personale anche in Sardegna.",""
"214.html","Foot Locker assume addetti alle vendite a Cagliari - L'Unione Sarda.it","Il candidato ha esperienza nel settore ed � disponibile a lavorare in weekend e festivi","Il candidato ha esperienza nel settore ed � disponibile a lavorare in weekend e festivi","Foot Locker assume personale per il suo negozio di via Garibaldi a Cagliari.","","","Foot Locker assume personale per il suo negozio di via Garibaldi a Cagliari.",""
"210.html","Centro per l'impiego di Oristano cerca un autista - L'Unione Sarda.it","Si richiede disponibilit� a lavorare su turni","Si richiede disponibilit� a lavorare su turni","Il centro per l'impiego di Oristano seleziona un autista di mezzi privati per conto di un'azienda operante nel settore trasporto mediante noleggio autovetture da rimessa con conducente.","","","Il centro per l'impiego di Oristano seleziona un autista di mezzi privati per conto di un'azienda operante nel settore trasporto mediante noleggio autovetture da rimessa con conducente.",""
"216.html","Amazon, mille nuovi posti di lavoro: opportunit� a Cagliari - L'Unione Sarda.it","Le assunzioni saranno a tempo indeterminato","Le assunzioni saranno a tempo indeterminato","Amazon annuncia nuove assunzioni nel costumer service di Cagliari.","","","Amazon annuncia nuove assunzioni nel costumer service di Cagliari.",""
"213.html","Aziende sarde del vino, un bando per finanziare la promozione all'estero - L'Unione Sarda.it","L'aiuto copre fino al 50% della spesa (l'80% nel caso di promozione di marchi Dop e Igp)","L'aiuto copre fino al 50% della spesa (l'80% nel caso di promozione di marchi Dop e Igp)","Per le imprese sarde del settore vitivinicole c'� tempo fino al 15 luglio per fare richiesta e accedere al bando "Promozione sui mercati dei Paesi terzi", un progetto nato nell'ambito del Programma nazionale di sostegno del comparto per il periodo 2019-2023.","","","Per le imprese sarde del settore vitivinicole c'� tempo fino al 15 luglio per fare richiesta e accedere al bando "Promozione sui mercati dei Paesi terzi", un progetto nato nell'ambito del Programma nazionale di sostegno del comparto per il periodo 2019-2023.",""
"36.html","Latte, a Tramatza le proposte degli allevatori VIDEO - L'Unione Sarda.it","I pastori chiedono una nuova valutazione per la formazione del calcolo","","L'unit� della categoria e dialogo aperto con la Regione, il Governo e i produttori. L'appello ai pastori parte nuovamente da","Tramat","za","L'unit� della categoria e dialogo aperto con la Regione, il Governo e i produttori. L'appello ai pastori parte nuovamente da","e a lanciarlo � l'associazione Pi� Sardegna."
"63.html","Italia in stagnazione, Pil fermo nel secondo trimestre 2019 VIDEO - L'Unione Sarda.it","Le esportazioni sono cresciute dell'1% e le importazioni dell'1,1%","","Nel secondo trimestre dell'anno il prodotto interno lordo � rimasto invariato rispetto al trimestre precedente ed � diminuito dello 0,1% nei confronti del secondo trimestre del 2018.","","","Nel secondo trimestre dell'anno il prodotto interno lordo � rimasto invariato rispetto al trimestre precedente ed � diminuito dello 0,1% nei confronti del secondo trimestre del 2018.",""
