"pages","dividmaincontainerdiv1div1div1div1h61textselftext","dividcommentsectionprecedingsiblingdiv1h61text1selftext","dividmaincontainerdiv1div1div1figure1precedingsiblingprecedingsiblingh61textselftext","dividcommentsectionp1text1selftext","","","dividcommentsectionul1p1textselftext","","dividmodalalerttexthead1title1text1selftext","liidprintarticleprecedingsiblinga1div1h11precedingsiblingtext1selftext"
"65.html","Dalla Giunta, su impulso dell'assessore al Turismo Gianni Chessa, stanziamenti per milioni di euro","Dalla Giunta, su impulso dell'assessore al Turismo Gianni Chessa, stanziamenti per milioni di euro","Dalla Giunta, su impulso dell'assessore al Turismo Gianni Chessa, stanziamenti per milioni di euro","La Giunta regionale ha approvato le direttive per la pubblicazione del nuovo bando relativo agli incentivi per le assunzioni di apprendisti artigiani previsti dalla legge regionale 12 del 2001.","","","La Giunta regionale ha approvato le direttive per la pubblicazione del nuovo bando relativo agli incentivi per le assunzioni di apprendisti artigiani previsti dalla legge regionale 12 del 2001.","","Imprese artigiane, approvato il bando per le assunzioni degli apprendisti - L'Unione Sarda.it","la regione"
"62.html","Sul piano delle vendite dei lavori artigianali si � raggiunta quota 210mila euro","Sul piano delle vendite dei lavori artigianali si � raggiunta quota 210mila euro","Sul piano delle vendite dei lavori artigianali si � raggiunta quota 210mila euro","Nella fiera dell'artigianato artistico della Sardegna sono stati superati i diecimila visitatori. Un risultato che la rassegna pi� antica sull'artigianato di qualit� nell'Isola non aveva mai raggiunto. I decimillesimi visitatori sono stati una coppia di fidanzati provenienti da Cagliari: Giuseppe Di Natale, 45 anni, di origini siciliane, e Luisa Melis di 43 anni.","","","Nella fiera dell'artigianato artistico della Sardegna sono stati superati i diecimila visitatori. Un risultato che la rassegna pi� antica sull'artigianato di qualit� nell'Isola non aveva mai raggiunto. I decimillesimi visitatori sono stati una coppia di fidanzati provenienti da Cagliari: Giuseppe Di Natale, 45 anni, di origini siciliane, e Luisa Melis di 43 anni.","","Fiera dell'artigianato di Mogoro, un successo: "Superati i 10mila visitatori" - L'Unione Sarda.it","58esima edizione"
"221.html","All'incontro, convocato dall'associazione "Pi� Sardegna", partecipa anche l'assessore Gabriella Murgia","All'incontro, convocato dall'associazione "Pi� Sardegna", partecipa anche l'assessore Gabriella Murgia","All'incontro, convocato dall'associazione "Pi� Sardegna", partecipa anche l'assessore Gabriella Murgia","L'associazione "Pi� Sardegna" lancia un appello all'unit� dei pastori e convoca, per domani alle 10.30, un'assemblea generale a Tramatza, che vedr� la partecipazione dell'assessore regionale all'Agricoltura Gabriella Murgia.","","","L'associazione "Pi� Sardegna" lancia un appello all'unit� dei pastori e convoca, per domani alle 10.30, un'assemblea generale a Tramatza, che vedr� la partecipazione dell'assessore regionale all'Agricoltura Gabriella Murgia.","","Pastori, assemblea a Tramatza: allo studio la proposta di un contratto triennale - L'Unione Sarda.it","la vertenza"
"114.html","Igea e sindacati: �Una situazione assurda, gravi disagi per i dipendenti�","","","","","","","","Ponte chiuso, tutto tace sui lavori - L'Unione Sarda.it","Iglesias. Da un anno � bloccato il traffico nel tratto di Genna Luas della statale 130"
"211.html","Il candidato ideale ha pi� di 21 anni e una buona conoscenza dell'inglese","Il candidato ideale ha pi� di 21 anni e una buona conoscenza dell'inglese","Il candidato ideale ha pi� di 21 anni e una buona conoscenza dell'inglese","Emirates ricerca personale anche in Sardegna.","","","Emirates ricerca personale anche in Sardegna.","","Emirates ricerca assistenti di volo a Cagliari - L'Unione Sarda.it","open day"
"214.html","Il candidato ha esperienza nel settore ed � disponibile a lavorare in weekend e festivi","Il candidato ha esperienza nel settore ed � disponibile a lavorare in weekend e festivi","Il candidato ha esperienza nel settore ed � disponibile a lavorare in weekend e festivi","Foot Locker assume personale per il suo negozio di via Garibaldi a Cagliari.","","","Foot Locker assume personale per il suo negozio di via Garibaldi a Cagliari.","","Foot Locker assume addetti alle vendite a Cagliari - L'Unione Sarda.it","retail"
"213.html","L'aiuto copre fino al 50% della spesa (l'80% nel caso di promozione di marchi Dop e Igp)","L'aiuto copre fino al 50% della spesa (l'80% nel caso di promozione di marchi Dop e Igp)","L'aiuto copre fino al 50% della spesa (l'80% nel caso di promozione di marchi Dop e Igp)","Per le imprese sarde del settore vitivinicole c'� tempo fino al 15 luglio per fare richiesta e accedere al bando "Promozione sui mercati dei Paesi terzi", un progetto nato nell'ambito del Programma nazionale di sostegno del comparto per il periodo 2019-2023.","","","Per le imprese sarde del settore vitivinicole c'� tempo fino al 15 luglio per fare richiesta e accedere al bando "Promozione sui mercati dei Paesi terzi", un progetto nato nell'ambito del Programma nazionale di sostegno del comparto per il periodo 2019-2023.","","Aziende sarde del vino, un bando per finanziare la promozione all'estero - L'Unione Sarda.it","Regione"
"36.html","I pastori chiedono una nuova valutazione per la formazione del calcolo","I pastori chiedono una nuova valutazione per la formazione del calcolo","","L'unit� della categoria e dialogo aperto con la Regione, il Governo e i produttori. L'appello ai pastori parte nuovamente da","Tramat","za","L'unit� della categoria e dialogo aperto con la Regione, il Governo e i produttori. L'appello ai pastori parte nuovamente da","e a lanciarlo � l'associazione Pi� Sardegna.","Latte, a Tramatza le proposte degli allevatori VIDEO - L'Unione Sarda.it","futuro incerto"
"63.html","Le esportazioni sono cresciute dell'1% e le importazioni dell'1,1%","Le esportazioni sono cresciute dell'1% e le importazioni dell'1,1%","","Nel secondo trimestre dell'anno il prodotto interno lordo � rimasto invariato rispetto al trimestre precedente ed � diminuito dello 0,1% nei confronti del secondo trimestre del 2018.","","","Nel secondo trimestre dell'anno il prodotto interno lordo � rimasto invariato rispetto al trimestre precedente ed � diminuito dello 0,1% nei confronti del secondo trimestre del 2018.","","Italia in stagnazione, Pil fermo nel secondo trimestre 2019 VIDEO - L'Unione Sarda.it","i dati"
"212.html","Il bando "Ideas 2019" prevede l'assegnazione di contributi a fondo perduto alle nuove attivit�","Il bando "Ideas 2019" prevede l'assegnazione di contributi a fondo perduto alle nuove attivit�","Il bando "Ideas 2019" prevede l'assegnazione di contributi a fondo perduto alle nuove attivit�","Un contributo di 100mila euro dal Comune per favorire lo sviluppo di nuove attivit� imprenditoriali e il sorgere di nuovi posti di lavoro.","","","Un contributo di 100mila euro dal Comune per favorire lo sviluppo di nuove attivit� imprenditoriali e il sorgere di nuovi posti di lavoro.","","Il Comune di Sarroch stanzia 100mila euro per sostenere nuove imprese - L'Unione Sarda.it","Finanziamenti"
