"pages","dividsubcategoriesdiv1div1span1text1selftext","dividlayeredblockleftbr1h11precedingsiblingspan1text1selftext","ulidproductlistprecedingsiblingdiv1span1text1selftext","dividcentercolumndiv1div1div1span1textselftext","selectidselectprductsortoption1text1selftext","dividpaginationbottomh11precedingsiblingspan1text1selftext","aidcookiesclosetextselftext","dividshoppingcarta1i1span1text1selftext"
"12.html","",">",">",">","-",">","Ok","0"
"54.html",">","",">",">","","","Ok","0"
"57.html","",">",">",">","-",">","Ok","0"
"23.html","",">",">",">","-",">","Ok","0"
"4.html","",">",">",">","-",">","Ok","0"
"53.html","","",">",">","-",">","Ok","0"
"11.html","",">",">",">","-",">","Ok","0"
"56.html","",">",">",">","-",">","Ok","0"
"59.html","",">",">",">","-",">","Ok","0"
"45.html","",">",">",">","-",">","Ok","0"
"17.html","",">",">",">","-",">","Ok","0"
"25.html",">","",">",">","","","Ok","0"
"47.html","",">",">",">","-",">","Ok","0"
"30.html","",">",">",">","-",">","Ok","0"
"58.html","",">",">",">","-",">","Ok","0"
"16.html","",">",">",">","-",">","Ok","0"
"8.html","",">",">",">","-",">","Ok","0"
"10.html","",">",">",">","-",">","Ok","0"
"36.html","",">",">",">","-",">","Ok","0"
"60.html","","","",">","","","Ok","0"
"55.html","",">",">",">","-",">","Ok","0"
"5.html","",">",">",">","-",">","Ok","0"
"100.html","",">",">",">","-",">","Ok","0"
"32.html","",">",">",">","-",">","Ok","0"
"46.html","",">",">",">","-",">","Ok","0"
"40.html",">","",">",">","","","","0"
"9.html","",">",">",">","-",">","Ok","0"
"51.html","",">",">",">","-",">","Ok","0"
"43.html","",">",">",">","-",">","Ok","0"
