"pages","bidminimalquantitylabeltext1selftext","dividproductcommentsblockextrabr1followingsiblingtext1selftext","textareaidcontentprecedingsiblingsup1textselftext","","dividshoppingcarta1i1span1text1selftext","buttonidsubmitnewmessageprecedingsiblingsup1text1selftext","dividrecensionidiv1div1span1text1selftext","aidcookiesclosetext1selftext","dividproductscategorylista1textselftext","buttonidsubmitnewmessagea1textselftext"
"86.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"98.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"94.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"82.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"99.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"87.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"93.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"97.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"92.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
"84.html","1","Dopo aver fatto il login tornerai automaticamente su questa pagina.","*","*","0","*",">","Ok","?","o"
