"pages","dividcommentstextprecedingsiblingprecedingsiblingh21textselftext","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1strong1text1selftext","","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1strong1textselftext","","dividcommentsprecedingsiblingul1precedingsiblingprecedingsiblingp1textselftext","","","","","","","","","","","","","","","","","","","","","","","","",""
"20.html","Chiusi in anticipo i lavori tra il nodo di Palmanova e l?area di servizio di Gonars","primo tratto della terza corsia dell?A4","","primo tratto della terza corsia dell?A4","","E? ufficialmente aperto da questa mattina il",". Completati in anticipo rispetto alla tabella di marcia i",".","","","","","","","","","","","","","","","","","","","","","","",""
"26.html","Infortunio domestico in un'abitazione di Udine. La donna � precipitata da un'altezza di 3 metri","Infortunio","","Infortunio","","domestico in un'","dove la badante, nel tentativo di recuperare la biancheria intima che aveva steso poco prima - i panni erano finiti su alcune lastre di plexiglass - � caduta di sotto, precipitando per 3 metri.","","","","","","","","","","","","","","","","","","","","","","","",""
"37.html","Venerd� 2 agosto, sul grande palco dell?area concerti, andr� in scena l?evento dedicato ai grandi successi di una decade che non smette di affascinare","59� Festival di Majano","","59� Festival di Majano","","Torna il fine settimana al","con decine di eventi che spaziano dalla grande musica live alle mostre d?arte, dal tempo libero alla gastronomia. Il primo grande appuntamento del week end richiamer� migliaia di fan di un periodo preciso della musica italiana e internazionale, gli",". Domani,",", alle 21.00 sul grande palco dell?area concerti, andr� infatti in scena l?evento",", la festa pi� amata dagli",". L?evento, firmato da",", ripercorrer� i successi di quello storico decennio musicale grazie ad","in consolle e a",", mattatore della serata, che presenter� gli ospiti che si esibiranno dal vivo, tra i pi� grandi nomi della musica nazionale e internazionale di quegli anni.","Protagonisti a","saranno quindi tre icone che hanno letteralmente segnato quegli anni:",", con la celebre ?Comprami?,",", autore di ?Kalimba de Luna?, e",", che ha firmato le mitiche ?I Like Chopin? e ?Lunatic?. Un appuntamento, quello con ?80 Festival, divenuto un classico della programmazione estiva del Festival di Majano.","Il programma del fine settimana vedr� poi altri due grandi concerti, quelli dei","e il",". Durante tutte le giornate del festival sono inoltre visitabili due interessanti",", quella personale dell?artista friulano","dal titolo ?Siamo qui per bellezza? (alla Sala Ciro di Pers) e quella della","dal titolo ?Mosaici Contemporanei? (Palazzo delle Esposizioni).","Non mancher� nel corso del fine settimana il",", con la prima delle due gite ?","?. Scoprire paesaggi, ascoltare storie, assaggiare vini, birre e prodotti tipici del territorio su una strada che fa incrociare natura, cultura ed enogastronomia.",", con partenza alle 14.00 dal Festival, la gita si svolger� nel cividalese, toccando la Distilleria Ceschia (Nimis), la Cantina Ronc dai Luchis (Faedis) e il Birrificio Campestre (Corno di Rosazzo), per poi rientrare al festival per la cena. Info e programma completo del 59� Festival di Majano su www.promajano.it","",""
"12.html","Sono 18 le scuole primarie del Friuli Venezia Giulia che hanno partecipato al progetto","","","","","Terminato l?anno scolastico � il momento di bilanci per le attivit� didattiche di AIAB FVG che, grazie al supporto della Regione Friuli Venezia Giulia e dell?ERSA, hanno coinvolto con il progetto ?Il biologico a scuola?, pi� di 750 bambini di 18 scuole primarie del Friuli Venezia Giulia.","Proposti 8 percorsi didattici per parlare di agricoltura biologica e sana alimentazione, per percorrere la storia del cibo dal campo alla tavola. Un?agricoltura che parla di biodiversit�, vita nel terreno, sostenibilit�, uno strumento per fornire alle nuove generazioni le basi dell?ecologia; non solo quindi percorsi per far conoscere ed informare ma per educare i bambini, anche con attivit� pratiche ed esperienze dirette, per riflettere e diventare consapevoli delle proprie scelte alimentari e degli effetti di tali scelte sull?ambiente e sulla salute.","Gli argomenti proposti ai bambini, dai pi� piccoli delle classi prime a quelli pi� grandi delle quinte sono stati diversi, dal melo ed i suoi frutti con un viaggio attraverso le diverse stagioni al percorso sui cereali, dal seme alla pianta e dal chicco al pane; dall'attivit� all?aperto con la realizzazione e cura dell?orto alle api, vacche, latte e formaggi, frutta e verdura per concludere con la merenda sana e bio.","Nello specifico, nelle scuole che hanno aderito al progetto sono stati innanzitutto definiti con gli insegnanti i percorsi e le classi da coinvolgere e a seguire sono state realizzate le attivit� rivolte direttamente ai bambini: due incontri in classe per approfondire i diversi argomenti e poi, a seconda dei percorsi scelti, laboratori di preparazione del pane e dello yogurt, degustazione di diversi tipi di latte, mele e ortaggi, osservazione dell?arnia didattica; nell?orto della scuola si � lavorato dalla preparazione del terreno fino alla raccolta dei primi ortaggi primaverili ed infine, per alcune scuole, visite alle aziende agricole, ai frutteti in fiore e alle coltivazioni orticole. A conclusione delle attivit�, una merenda per tutti a base di prodotti bio della nostra regione.","A supporto del progetto si � ritenuto opportuno realizzare un incontro di formazione rivolto a tutti gli insegnanti dell?istituto comprensivo e alle famiglie degli alunni.","?Il progetto ha dato ai bambini l?opportunit� di capire l?importante legame tra agricoltura, ambiente e cibo e li ha spinti a riflettere sulle proprie abitudini, invogliandoli a discuterne a scuola, ma soprattutto a portare in famiglia le informazioni e le conoscenze acquisite nelle attivit�? spiega Tatjana Hrovatin, insegnante referente per il progetto e collaboratrice del Dirigente dell'Istituto Comprensivo con lingua d'insegnamento slovena di Duino Aurisina.","?� proprio il coinvolgimento delle famiglie uno degli obiettivi del progetto - sottolinea Daniela Peresson responsabile del progetto per AIAB FVG - poich� abbiamo inserito fra le attivit� incontri di formazione rivolti ad insegnanti e genitori perch� solo la stretta collaborazione tra scuola e famiglia pu� favorire il consolidamento di corrette abitudini alimentari nei bambini; crediamo sia importante collaborare alla crescita di cittadini informati e consapevoli, che condividano e supportino con le loro scelte quotidiane, sistemi di produzione e di consumo locali e sostenibili?.","Moltissime le manifestazioni d?interesse da parte delle scuole, nell?impossibilit� di soddisfarle tutte si � comunque lavorato su tutto il territorio regionale, da Lignano a Timau e da Duino Aurisina a Prata di Pordenone.","?Un supporto concreto e competente alla nostra continua attivit� di educazione al rispetto del territorio e ad una sana alimentazione? dicono gli insegnanti.","Gi� negli anni 2011 e 2012 la Regione ha promosso la realizzazione di attivit� didattiche nelle scuole primarie con il progetto ?FVG BIO?. La progettazione attuale, che ha visto la luce nell?anno scolastico 2017/18, ha proposto argomenti che sono stati correttamente inseriti nella programmazione didattica delle singole classi e che gli insegnanti hanno poi consolidano nel corso dell?anno. Oltre agli interventi nelle scuole il progetto ha permesso anche la realizzazione di materiali didattici di supporto alle attivit�: libretti tematici specifici che hanno accompagnato i bambini nei diversi percorsi (reperibili a questo link:","Un?esperienza da proseguire visti i risultati raggiunti, ed infatti diverse scuole hanno gi� richiesto di inserire nuovi percorsi nella programmazione del prossimo anno scolastico.","AIAB FVG � a disposizione per organizzare e predisporre sin da ora proposte, progetti e nuovi percorsi per le scuole, da inserire nella programmazione del prossimo anno scolastico in supporto agli insegnanti, per poter essere pienamente operativi gi� alla ripresa delle attivit� didattiche.","","","","","","","","","","","","","",""
"29.html","Gli amici della 21enne di Vidulis di Dignano hanno raggiunto la sede della Polstrada per deporre un sasso del Tagliamento e dire una preghiera","Nadia","","Nadia","","Oggi alcuni amici di","si sono recati a",", davanti alla Sede della Polstrada, dove, esattamente due anni fa, l'assassino si era consegnato alle forze dell'ordine e aveva restituito anche il corpo senza vita della 21enne di Vidulis.","","","","","","","","","","","","","","","","","","","","","","",""
"34.html","Sabato 10 e domenica 11 agosto torna l'appuntamento con il Festival di arte per strada","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a","Fraser Hooper","Art tal Ort, il Festival d?arte per strada in programma il 10 e l?11 agosto al Castello di Fagagna, e lo fa con tanti appuntamenti e una direzione artistica rinnovata e straordinaria, affidata quest'anno a",", il clown neozelandese, vincitore di numerosi premi in tutto il mondo","Festeggia 10 anni",". Un?edizione, la decima, che vuole celebrare il festival nato due lustri fa dal genio creativo dell?associazione culturale","(s�, quella della popolare serie dedicata a vizi e virt� dei friulani raccontati in chiave comico-satirica). Tra gli ospiti",".","Art tal ort 2019 proporr� una trentina di appuntamenti spalmati su due giorni anche per quest?anno realizzati grazie al Comune di Fagagna, alla Regione, alla Fondazione Friuli, alla Comunit� collinare e a numerosi sponsor privati.","","","","","","","","","","","","","","","","","","","","",""
"18.html","Novelli (FI) sul caso del carabiniere Luigi Coltraro: "Vicenda scandalosa, emblematica di un fenomeno sommerso"","Luigi","","Luigi","","Il caso di",", il","a cui lo Stato nega il riconoscimento di vittima del dovere e del terrorismo, approda nuovamente alla",". La sua vicenda era gi� stata al centro di un?interrogazione del deputato di Forza Italia",", presentata circa un anno fa. Ieri, finalmente, la risposta, a cui � seguita una conferenza stampa a cui ha partecipato lo stesso Coltraro.","","","","","","","","","","","","","","","","","","","","",""
"15.html","L'azienda ha completato i lavori di adeguamento negli Uffici Postali di Bordano, Forgaria, Visco, Treppo Ligosullo, Chiusaforte, San Vito al Torre","","","","","Rivoluzione per gli uffici postali che progressivamente, anche in Fvg, dicono addio alle barriere architettoniche. Poste Italiane, infatti, ha completato i lavori di adeguamento negli Uffici Postali di Bordano, Forgaria del Friuli, Visco, Treppo Ligosullo, Chiusaforte, San Vito al Torre nell?ambito di un pi� ampio piano di interventi straordinari che interessano la rete in provincia di Udine.","Le installazioni sono parte del programma dei ?dieci impegni? per i Comuni italiani con meno di 5.000 abitanti promosso dall?Amministratore Delegato, Matteo Del Fante, in occasione dell?incontro con i ?Sindaci d?Italia? dello scorso 26 novembre a Roma, ed � coerente con la presenza capillare di Poste Italiane sul territorio e con l?attenzione che l?Azienda vuole riservare alle comunit� locali e alle aree meno densamente popolate. L?effettiva realizzazione di tali impegni � consultabile sul nuovo portale web all?indirizzo","In tutta Italia il piano di abbattimento delle barriere architettoniche coinvolger� gli Uffici Postali di circa 1300 Comuni.","L'iniziativa � coerente con i principi ESG sull'ambiente, il sociale e il governo di impresa, rispettati dalle aziende socialmente responsabili, che contribuiscono allo sviluppo sostenibile del Paese.","","","","","","","","","","","","","","","","","","","","","",""
"23.html","Due ragazze incinte, una all'ottavo mese, sono state fermate dalla Polizia di Stato. Per loro il foglio di via dalla citt�","Due donne incinte","","Due donne incinte","",", una all?ottavo mese, sono state fermate dalla Polizia di Stato di Pordenone e indagate a piede libero per il tentato furto in un?abitazione della citt�. Le due, nella mattinata di ieri, erano state notate da una pattuglia della Squadra Volante nella zona di via Vallona mentre si allontanavano con fare sospetto da un condominio.","","","","","","","","","","","","","","","","","","","","","","","","",""
"31.html","Un 21enne � stato fermato e multato dalla Polizia locale di Trieste. Era ?recidivo?","auto del pap�","","auto del pap�","","Era al volante dell?",", ma",". Nei guai un",", fermato nei giorni scorsi dalla","in Borgo Teresiano. Dalla verifica tramite banca dati � emerso che il giovane era gi� stato pizzicato altre volte al volante. Pesante la sanzione: il codice della strada, infatti, prevede una multa di 5.110 euro e il fermo del veicolo per tre mesi. Sanzionato anche il padre (398 euro), per avergli incautamente affidato il veicolo.","","","","","","","","","","","","","","","","","","","","",""
"4.html","La 19enne si � aggiudicata ieri sera la selezione in diretta dagli studi di Telefriuli","Nicol Reia","","Nicol Reia","",", 19 anni di Trieste si � aggiudicata ieri sera, al termine di uno spettacolo televisivo in diretta su","il titolo regionale di ?","? conquistando cos� l?accesso alle ?prefinali nazionali? di ?Miss Italia?.","","","","","","","","","","","","","","","","","","","","","","",""
"14.html","Appuntamento venerd� 2 agosto, alle 18, per una visita guidata","","","","","Domani sera, venerd� 2 agosto, appuntamento a Miramare nell'ambito delle giornate di apertura serale straordinaria che prevede l'apertura al pubblico del castello fino alle 22.30. Grazie alla collaborazione tra il Museo Storico e il Parco del Castello di Miramare e il WWF Area Marina Protetta, venerd� 2 agosto si svolger� la prima delle iniziative a tema, centrate sugli aspetti botanico naturalistici e culturali del sito storico.","Dalle 18, con ritrovo davanti al piazzale del castello, � in programma una passeggiata naturalistica tra natura e arte. Tra gabbiani, balestrucci, marangoni e picchi, gli uccelli che popolano il Parco e la Riserva Marina di Miramare, l?occasione unica per farsi guidare da un esperto ornitologo dello staff WWF che, con l?ausilio di binocolo o cannocchiale, aiuter� i partecipanti a identificare le diverse specie svelando curiosit� e caratteristiche di ciascuna. Molti sono anche gli uccelli, nascosti o ben visibili, che si celano fra le opere, sulle tele e nelle preziose decorazioni dell?imponente castello. Del resto, si sa quanta passione, accompagnata anche da una vera e propria sete di conoscenza, avesse l?arciduca Massimiliano d?Asburgo per la natura nelle sue multiformi espressioni. La visita nelle sale della dimora signorile di Massimiliano e Carlotta sar� curata dagli storici esperti del Museo.","","","","","","","","","","","","","","","","","","","","","","","",""
"7.html","Gi� oggi si sono verificati numerosi incidenti in A4 e lunghe code. Da venerd� 2 a domenica 4 agosto traffico intenso su tutta la rete, in particolare in direzione del confine","Il primo weekend di agosto sar� il pi� trafficato dell?anno sulla rete autostradale gestita da Autovie Venete","","Il primo weekend di agosto sar� il pi� trafficato dell?anno sulla rete autostradale gestita da Autovie Venete","","L?esodo estivo entra nella fase pi� calda.",". Sono, infatti, due le giornate caratterizzate da",", ovvero",". In realt�, gi� oggi,",", in direzione",". Ai transiti dei mezzi pesanti che rientrano nei paesi dell?Est Europa, tipici del gioved�, si aggiungono i flussi di veicoli leggeri che partono per le vacanze.","Un mix che sta mettendo a",". Fin dal mattino infatti si sono registrate","che poi pian piano si sono estese",". Una",", non hanno avuto conseguenze per le persone, ma hanno contribuito a congestionare ulteriormente la viabilit�. L?ultimo ha coinvolto",". Sul posto sono intervenuti il personale di Autovie Venete, la Polizia Stradale, il 118 e i soccorsi meccanici. Attualmente -",". La situazione si manterr� sostanzialmente inalterata fino a questa sera.","Ancora pi� elevati i flussi attesi per domani",". Per quanto riguarda",", sole e caldo favoriranno, come sempre, gli",", gi� dalle prime ore del mattino, ma a prendere d?assalto il litorale saranno anche i vacanzieri provenienti da Austria e Germania che transiteranno lungo la A23 Tarvisio ? Palmanova per poi proseguire o verso le spiagge friulane e veneto o verso la Slovenia e la Croazia.","in particolare alla barriera di Lisert, in uscita.",". La concessionaria ha potenziato la presenza del personale ai caselli per velocizzare i transiti: complessivamente saranno 110 gli esattori ? suddivisi nei tre turni della giornata - presenti su tutta la rete.","Probabili",".",", Villesse ? Gorizia.","?",", in entrambe le direzioni, con possibili congestioni in uscita alla barriera di Trieste Lisert e ai caselli delle localit� di mare. Traffico sostenuto anche in A57 in entrambe le direzioni.",", in questo fine settimana, � stato esteso","dalle 16,00 alle 22,00, mentre sabato 3 i tir non potranno circolare dalle 08 alle 22 e domenica 4 agosto dalle 7 alle 22."
