"pages","dividtaboolabelowarticlethumbnailsarticle1header1div1p1textselftext","","dividmobileintersholderprecedingsiblingtitle1textselftext","dividadvmiddlep1textselftext","","","","","","","","","","dividadvmiddlep1strong1followingsiblingtext1selftext","dividtaboolabelowarticlethumbnailsarticle1header1div1p1text1selftext","","","","",""
"26.html","Turisti evacuati in Val Formazza, gi� alberi scoperchiati tetti","","Nubifragi sul Verbano, 4 feriti lievi - Italia-Mondo - Alto Adige","(ANSA) - TORINO, 12 AGO - Ci sono quattro feriti lievi per il maltempo che questa mattina ha colpito la provincia di Verbania.","","","","","","","","","","","Turisti evacuati in Val Formazza, gi� alberi scoperchiati tetti","","","","",""
"37.html","Nuovo tragico incidente sulle strade dell'Alto Adige: a nulla sono valsi i tentativi di rianimazione. La vittima � Hannes Noeckler, 25 anni di San Candido","","Scontro in val Casies, morto un centauro - Pusteria Gardena Badia - Alto Adige","Non sembra avere fine la tragica scia di sangue sulle strade dell'Alto Adige. Dopo l'incidente mortale",", un nuovo schianto tra un'auto e una moto si � verificato nel primo pomeriggio in val Casies.","","","","","","","","","Non sembra avere fine la tragica scia di sangue sulle strade dell'Alto Adige. Dopo l'incidente mortale","Nuovo tragico incidente sulle strade dell'Alto Adige: a nulla sono valsi i tentativi di rianimazione. La vittima � Hannes Noeckler, 25 anni di San Candido","","","","",""
"16.html","Un uomo di 35 anni del posto � rimasto a terra privo di sensi","","Redagno, operaio cade dal tetto: � grave - Bassa Atesina - Alto Adige","� grave un operaio che a Redagno di sotto stava lavorando su un tetto ed � precipitato, a mezzogiorno, da un altezza di circa 5 metri. L'operaio di 35 anni del posto � rimasto a terra privo di sensi.","","","","","","","","","","� grave un operaio che a Redagno di sotto stava lavorando su un tetto ed � precipitato, a mezzogiorno, da un altezza di circa 5 metri. L'operaio di 35 anni del posto � rimasto a terra privo di sensi.","Un uomo di 35 anni del posto � rimasto a terra privo di sensi","","","","",""
"12.html","Massiccio intervento dei vigili del fuoco.",".","Merano, esplosioni e incendio in via Portici - Merano - Alto Adige","Paura a Merano, dove questo pomeriggio, attorno alle 16.30, si � sviluppato un grosso incendio in via Portici.","","","","","","","","","","Paura a Merano, dove questo pomeriggio, attorno alle 16.30, si � sviluppato un grosso incendio in via Portici.","Massiccio intervento dei vigili del fuoco.","LEGGI L'ARTICOLO:","Sette le persone evacuate, due gli intossicati","LE IMMAGINI:","I soccorsi dei vigili del fuoco con le operazioni di salvataggio","L'autogr� raggiunge la finestra all'ultimo piano"
"54.html",", questa mattina � stata una donna a cadere nelle acque dell'Isarco all'altezza di Chiusa","","Un'altra persona finisce nell'Isarco, rianimata e trasportata in ospedale - Cronaca - Alto Adige",". Secondo caso in poche ore di una persona recuperata nell'Isarco. Questa mattina, infatti, attorno alle 8, le squadre di soccorso dei vigili del fuoco di Chiusa e Bressanone sono state allertate per recuperare una donna finita in acqua.","","","","","","","","","",". Secondo caso in poche ore di una persona recuperata nell'Isarco. Questa mattina, infatti, attorno alle 8, le squadre di soccorso dei vigili del fuoco di Chiusa e Bressanone sono state allertate per recuperare una donna finita in acqua.","Dopo il caso di questa notte, con un uomo morto a Fortezza",", questa mattina � stata una donna a cadere nelle acque dell'Isarco all'altezza di Chiusa","(foto Vigili del fuoco volontari Chiusa)","","",""
"39.html","I tabulati telefonici dimostrano che l'uomo non era alla giuda. Ma il giudice: deve pagare lo stesso","","Multato anche se il vigile si sbaglia - Cronaca - Alto Adige","�Non stavo parlando al cellulare, avevo semplicemente una posizione scorretta alla guida della macchina visto che tenevo appoggiata la testa alla mano sinistra�. Cos� si � giustificato un automobilista multato per aver utilizzato il telefono alla guida.","","","","","","","","","","","I tabulati telefonici dimostrano che l'uomo non era alla giuda. Ma il giudice: deve pagare lo stesso","","","","",""
"34.html","La formazione biancorossa si impone per 2 a 1 a Chiavari e ora affronter� l'Udinese","","Coppa Italia, impresa dell'Alto Adige: Entella ko - Sport - Alto Adige","Impresa dell'Fc Alto Adige che grazie al successo per 2 a 1 a Chiavari sulla Virtus Entella (formazione di serie B)approda al terzo turno di Coppa Italia Tim dove affronter� domenica prossima l'Udinese alla Dacia Arena.","","","","","","","","","","Impresa dell'Fc Alto Adige che grazie al successo per 2 a 1 a Chiavari sulla Virtus Entella (formazione di serie B)approda al terzo turno di Coppa Italia Tim dove affronter� domenica prossima l'Udinese alla Dacia Arena.","La formazione biancorossa si impone per 2 a 1 a Chiavari e ora affronter� l'Udinese","","","","",""
"55.html","Una pattuglia della Squadra Volante ha tratto in arresto P. D., 57enne originaria di Appiano, attualmente senza fissa dimora","","Costruisce una finta amicizia per rubare in casa di un'ottantenne, arrestata - Bolzano - Alto Adige",". Nel pomeriggio di ieri, 8 agosto, la Squadra Volante di Bolzano ha arrestato la 57enne originaria di Appiano, P.D., per furto in casa di un'ottantenne bolzanina.","","","","","","","","","",". Nel pomeriggio di ieri, 8 agosto, la Squadra Volante di Bolzano ha arrestato la 57enne originaria di Appiano, P.D., per furto in casa di un'ottantenne bolzanina.","Una pattuglia della Squadra Volante ha tratto in arresto P. D., 57enne originaria di Appiano, attualmente senza fissa dimora","","","","",""
"23.html","Indice principali titoli di Piazza Affari a 20.263 punti","","Borsa Milano chiude in calo, -0,3% - Italia-Mondo - Alto Adige","(ANSA) - MILANO, 12 AGO - Seduta negativa per la Borsa di Milano: l'indice Ftse Mib ha chiuso in perdita dello 0,30% a 20.263 punti.","","","","","","","","","","","Indice principali titoli di Piazza Affari a 20.263 punti","","","","",""
"35.html","I vigili del fuoco chiamati per un rogo scoppiato nel sistema fotovoltaico della struttura","","Mules, scatta l'allarme incendio in un fienile - Bressanone - Alto Adige","Allarme incendio in un fienile di Mules. I vigili del fuoco sono stati allertati attorno alle 10.30 per un rogo scoppiato nel sistema fotovoltaico.","","","","","","","","","","Allarme incendio in un fienile di Mules. I vigili del fuoco sono stati allertati attorno alle 10.30 per un rogo scoppiato nel sistema fotovoltaico.","I vigili del fuoco chiamati per un rogo scoppiato nel sistema fotovoltaico della struttura","","","","",""
