"pages","dividtaboolabelowarticlethumbnailsarticle1header1div1p1textselftext","dividadvmiddlep1textselftext","","","","","","","","","","dividmobileintersholderprecedingsiblingtitle1textselftext","dividadvmiddlep1strong1followingsiblingtext1selftext"
"37.html","Nuovo tragico incidente sulle strade dell'Alto Adige: a nulla sono valsi i tentativi di rianimazione. La vittima � Hannes Noeckler, 25 anni di San Candido","Non sembra avere fine la tragica scia di sangue sulle strade dell'Alto Adige. Dopo l'incidente mortale",", un nuovo schianto tra un'auto e una moto si � verificato nel primo pomeriggio in val Casies.","","","","","","","","","Scontro in val Casies, morto un centauro - Pusteria Gardena Badia - Alto Adige","Non sembra avere fine la tragica scia di sangue sulle strade dell'Alto Adige. Dopo l'incidente mortale"
"41.html","E' stato sanzionato dalla Polizia stradale dopo un controllo: si tratta di un anziano di 79 anni","Era fermo in auto in corrispondenza di un incrocio a Bolzano: troppo ubriaco per proseguire, al punto da creare disagi al traffico e costringere altri automobilisti a spingere il veicolo a bordo della carreggiata. Una scena che non � sfuggita alla pattuglia della Polizia stradale che, fermatasi immediatamente per prestare soccorso, ha notato che il guidatore, un anziano di 79 anni, emanava chiari sintomi da ebbrezza alcolica.","","","","","","","","","","Ubriaco blocca il traffico, gli altri lo spingono a lato strada - Bolzano - Alto Adige","Era fermo in auto in corrispondenza di un incrocio a Bolzano: troppo ubriaco per proseguire, al punto da creare disagi al traffico e costringere altri automobilisti a spingere il veicolo a bordo della carreggiata. Una scena che non � sfuggita alla pattuglia della Polizia stradale che, fermatasi immediatamente per prestare soccorso, ha notato che il guidatore, un anziano di 79 anni, emanava chiari sintomi da ebbrezza alcolica."
"33.html","Alle Sorelle Ramonda l'uomo aveva staccato a forza le placche antitaccheggio danneggiando anche alcuni capi. Raffica di furti sabato nello stesso centro commerciale","Si era impossessato di merce per 750 euro, ma � stato smascherato. Il ladro che, sabato mattina, � entrato alle Sorelle Ramonda, al primo piano del Twenty, aveva staccato a forza le placche magnetiche applicate sui capi d?abbigliamento. Ma gli � andata male: i suoi movimenti erano stati prima notati e poi monitorati dal personale del negozio.","","","","","","","","","","Bolzano, ruba merce per 750 euro al Twenty ma viene arrestato - Bolzano - Alto Adige","Si era impossessato di merce per 750 euro, ma � stato smascherato. Il ladro che, sabato mattina, � entrato alle Sorelle Ramonda, al primo piano del Twenty, aveva staccato a forza le placche magnetiche applicate sui capi d?abbigliamento. Ma gli � andata male: i suoi movimenti erano stati prima notati e poi monitorati dal personale del negozio."
"39.html","I tabulati telefonici dimostrano che l'uomo non era alla giuda. Ma il giudice: deve pagare lo stesso","�Non stavo parlando al cellulare, avevo semplicemente una posizione scorretta alla guida della macchina visto che tenevo appoggiata la testa alla mano sinistra�. Cos� si � giustificato un automobilista multato per aver utilizzato il telefono alla guida.","","","","","","","","","","Multato anche se il vigile si sbaglia - Cronaca - Alto Adige",""
"36.html","I  tre corpi senza vita sono stati trovati da un parente: paese sotto choc. David Pancheri avrebbe ucciso i genitori Gianpietro e Adriana per poi togliersi la vita","Tragedia a Romallo, I corpi di tre persone, padre, madre e figlio, sono stati trovati privi di vita all'interno di un appartamento nella centrale piazza Agosti. A dare l'allarme � stato un parente della famiglia preoccupato perch� non riusciva a  rintracciare nessuno.","","","","","","","","","","Tragedia a Romallo, spara ai genitori e si uccide - Cronaca - Alto Adige","Tragedia a Romallo, I corpi di tre persone, padre, madre e figlio, sono stati trovati privi di vita all'interno di un appartamento nella centrale piazza Agosti. A dare l'allarme � stato un parente della famiglia preoccupato perch� non riusciva a  rintracciare nessuno."
"34.html","La formazione biancorossa si impone per 2 a 1 a Chiavari e ora affronter� l'Udinese","Impresa dell'Fc Alto Adige che grazie al successo per 2 a 1 a Chiavari sulla Virtus Entella (formazione di serie B)approda al terzo turno di Coppa Italia Tim dove affronter� domenica prossima l'Udinese alla Dacia Arena.","","","","","","","","","","Coppa Italia, impresa dell'Alto Adige: Entella ko - Sport - Alto Adige","Impresa dell'Fc Alto Adige che grazie al successo per 2 a 1 a Chiavari sulla Virtus Entella (formazione di serie B)approda al terzo turno di Coppa Italia Tim dove affronter� domenica prossima l'Udinese alla Dacia Arena."
"55.html","Una pattuglia della Squadra Volante ha tratto in arresto P. D., 57enne originaria di Appiano, attualmente senza fissa dimora",". Nel pomeriggio di ieri, 8 agosto, la Squadra Volante di Bolzano ha arrestato la 57enne originaria di Appiano, P.D., per furto in casa di un'ottantenne bolzanina.","","","","","","","","","","Costruisce una finta amicizia per rubare in casa di un'ottantenne, arrestata - Bolzano - Alto Adige",". Nel pomeriggio di ieri, 8 agosto, la Squadra Volante di Bolzano ha arrestato la 57enne originaria di Appiano, P.D., per furto in casa di un'ottantenne bolzanina."
"15.html","Il Corpo forestale ha sequestrato stupefacente per un valore stimato di 4-5.000 euro","Grazie alla segnalazione di un cittadino, il Corpo forestale ha scoperto tra i boschi sopra le passeggiate di S. Osvaldo, a Bolzano, una coltivazione di 11 piante di canapa. Sul posto � stato identificato un ragazzo, successivamente denunciato al Tribunale dei minorenni del capoluogo, che durante una perquisizione � risultato essere anche in possesso di circa 4 grammi di hashish.","","","","","","","","","","Piante di canapa sulla passeggiata sopra Bolzano, minorenne denunciato - Bolzano - Alto Adige","Grazie alla segnalazione di un cittadino, il Corpo forestale ha scoperto tra i boschi sopra le passeggiate di S. Osvaldo, a Bolzano, una coltivazione di 11 piante di canapa. Sul posto � stato identificato un ragazzo, successivamente denunciato al Tribunale dei minorenni del capoluogo, che durante una perquisizione � risultato essere anche in possesso di circa 4 grammi di hashish."
"31.html","Allarme stamane al Gran Hotel Alpenroyal. Danni contenuti grazie all'intervento dei vigili del fuoco","Nella lavanderia di un albergo a cinque stelle a Selva di Val Gardena, il Gran Hotel Alpenroyal, questa mattina poco prima delle ore 7 si � sviluppato un incendio. A prendere fuoco � stato un cesto di asciugamani che erano appena stati lavati e asciugati con l'asciugatrice.","","","","","","","","","","Selva di Val Gardena, incendio nella lavanderia dell'albergo - Pusteria Gardena Badia - Alto Adige","Nella lavanderia di un albergo a cinque stelle a Selva di Val Gardena, il Gran Hotel Alpenroyal, questa mattina poco prima delle ore 7 si � sviluppato un incendio. A prendere fuoco � stato un cesto di asciugamani che erano appena stati lavati e asciugati con l'asciugatrice."
"35.html","I vigili del fuoco chiamati per un rogo scoppiato nel sistema fotovoltaico della struttura","Allarme incendio in un fienile di Mules. I vigili del fuoco sono stati allertati attorno alle 10.30 per un rogo scoppiato nel sistema fotovoltaico.","","","","","","","","","","Mules, scatta l'allarme incendio in un fienile - Bressanone - Alto Adige","Allarme incendio in un fienile di Mules. I vigili del fuoco sono stati allertati attorno alle 10.30 per un rogo scoppiato nel sistema fotovoltaico."
