"pages","articleidpost344838footer1span1precedingsiblingprecedingsiblingp1textselftext","articleidpost344838div1div1header1div1precedingsiblingtext1selftext","articleidpost345263div1header1div1div1a1text1selftext","articleidpost344838div1header1div1div1a1text1selftext","articleidpost345263div1ul1header1div1precedingsiblingtext1selftext","articleidpost345263footer1meta1precedingsiblingprecedingsiblingp1text1selftext","dividtduid15d4f14def05fadiv1div1text1selftext"
"65.html","","","","","","",""
"62.html","","","","","","",""
"41.html","","","","","","",""
"18.html","","","","","","",""
"63.html","","","","","","",""
"55.html","","","","","","",""
"56.html","","","","","","",""
"59.html","","","","","","",""
"66.html","","","","","","",""
"40.html","","","","","","",""
"24.html","","","0","","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","Presidente Piana a commemorazione delle 43 vittime: ?Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� decennali. Ma Genova e la Liguria hanno saputo ricostruire la propria fiducia verso il futuro?",""
"69.html","?L?aggressione della notte scorsa all?ospedale Galliera � stato un episodio grave, di cui � stato nuovamente vittima un operatore sanitario al quale va un augurio di pronta guarigione?.","Infermiere aggredito al Galliera, Viale: inasprire pene e pi� controlli nei pronto soccorso","","0","","","Recco, muore mentre fa il bagno in mare: anziana colpita da malore"
"64.html","","","","","","",""
